172.19.0.1 - - [24/Feb/2025:10:31:19 +0000] "POST /core-service/api/login HTTP/1.1" 200 992 "-" "-" 1 "core@docker" "http://172.19.0.7:80" 25882ms
172.19.0.1 - - [25/Feb/2025:10:09:21 +0000] "POST /design-service/api/projects HTTP/1.1" 404 18 "-" "-" 1 "design@docker" "http://172.19.0.3:8070" 5ms
172.19.0.1 - - [25/Feb/2025:10:09:40 +0000] "POST /design-service/projects HTTP/1.1" 404 18 "-" "-" 2 "design@docker" "http://172.19.0.3:8070" 0ms
172.19.0.1 - - [25/Feb/2025:10:09:42 +0000] "POST /design-service/projects HTTP/1.1" 404 18 "-" "-" 3 "design@docker" "http://172.19.0.3:8070" 0ms
172.19.0.1 - - [25/Feb/2025:10:09:43 +0000] "POST /design-service/projects HTTP/1.1" 404 18 "-" "-" 4 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [25/Feb/2025:10:09:56 +0000] "GET /design-service/projects HTTP/1.1" 502 11 "-" "-" 5 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [25/Feb/2025:10:10:33 +0000] "GET /design-service/projects HTTP/1.1" 502 11 "-" "-" 6 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [25/Feb/2025:10:12:22 +0000] "GET /design-service/projects HTTP/1.1" 502 11 "-" "-" 7 "design@docker" "http://172.19.0.3:8070" 4ms
172.19.0.1 - - [25/Feb/2025:10:16:34 +0000] "GET /design-service/projects HTTP/1.1" 502 11 "-" "-" 8 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [25/Feb/2025:10:18:42 +0000] "GET /design-service/projects HTTP/1.1" 200 307 "-" "-" 9 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [25/Feb/2025:10:18:47 +0000] "GET /design-service/projects HTTP/1.1" 200 307 "-" "-" 10 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [25/Feb/2025:10:18:48 +0000] "GET /design-service/projects HTTP/1.1" 200 307 "-" "-" 11 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [25/Feb/2025:10:18:49 +0000] "GET /design-service/projects HTTP/1.1" 200 307 "-" "-" 12 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [25/Feb/2025:10:18:50 +0000] "GET /design-service/projects HTTP/1.1" 200 307 "-" "-" 13 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:07:24:28 +0000] "POST /design-service/projects HTTP/1.1" 404 18 "-" "-" 1 "design@docker" "http://172.19.0.2:8070" 6ms
